Policy_ID,Customer_ID,Plan_Name,Coverage_Amount,Payment_Mode,Premium,Start_Date,End_Date,Status
POL0263,C263,ประกันอุบัติเหตุ,750000,รายปี,4125.0,2025-08-22,2026-08-22,Active
POL0264,C264,ประกันอุบัติเหตุ,400000,รายปี,1800.0,2025-09-05,2026-09-05,Active
POL0265,C265,ประกันชีวิต,1250000,รายเดือน,1698.05,2025-10-20,2026-10-20,Active
POL0266,C266,ประกันอุบัติเหตุ,1000000,รายปี,4275.0,2025-12-25,2026-12-25,Active
POL0267,C267,ประกันอุบัติเหตุ,100000,รายปี,450.0,2025-05-21,2026-05-21,Active
POL0268,C268,ประกันชีวิต,2300000,รายปี,37950.0,2025-11-07,2026-11-07,Active
POL0269,C269,ประกันโรคร้ายแรง,1200000,รายปี,30360.0,2025-11-07,2026-11-07,Active
POL0270,C270,ประกันอุบัติเหตุ,450000,รายปี,3037.5,2025-11-14,2026-11-14,Active
POL0271,C271,ประกันอุบัติเหตุ,300000,รายปี,1650.0,2025-11-18,2026-11-18,Active
POL0272,C272,ประกันชีวิต,1450000,รายเดือน,2569.22,2025-01-18,2026-01-18,Active
POL0273,C273,ประกันอุบัติเหตุ,300000,รายปี,1567.5,2025-06-01,2026-06-01,Active
POL0274,C274,ประกันอุบัติเหตุ,750000,รายปี,3375.0,2025-04-13,2026-04-13,Active
POL0275,C275,ประกันสุขภาพ,1450000,รายเดือน,3489.06,2025-07-07,2026-07-07,Active
POL0276,C276,ประกันอุบัติเหตุ,350000,รายปี,2502.5,2025-09-04,2026-09-04,Active
POL0277,C277,ประกันอุบัติเหตุ,600000,รายปี,4657.5,2025-08-28,2026-08-28,Active
POL0278,C278,ประกันชีวิต,950000,รายปี,19237.5,2025-12-13,2026-12-13,Active
POL0279,C279,ประกันโรคร้ายแรง,1450000,รายปี,31900.0,2025-07-22,2026-07-22,Active
POL0280,C280,ประกันชีวิต,1300000,รายปี,34222.5,2025-08-21,2026-08-21,Active
POL0281,C281,ประกันอุบัติเหตุ,500000,รายปี,2750.0,2025-11-23,2026-11-23,Active
POL0282,C282,ประกันอุบัติเหตุ,250000,รายปี,1375.0,2025-08-30,2026-08-30,Active
POL0283,C283,ประกันชีวิต,2450000,รายเดือน,3537.19,2025-11-09,2026-11-09,Active
POL0284,C284,ประกันสุขภาพ,1200000,รายปี,27000.0,2025-11-22,2026-11-22,Active
POL0285,C285,ประกันโรคร้ายแรง,1250000,รายกึ่งปี,14025.0,2025-03-01,2026-03-01,Active
POL0286,C286,ประกันสุขภาพ,250000,รายปี,5343.75,2025-06-05,2026-06-05,Active
POL0287,C287,ประกันโรคร้ายแรง,650000,รายปี,14300.0,2025-05-01,2026-05-01,Active
POL0288,C288,ประกันสุขภาพ,800000,รายกึ่งปี,18589.5,2025-07-09,2026-07-09,Active
POL0289,C289,ประกันโรคร้ายแรง,750000,รายกึ่งปี,6885.0,2025-12-02,2026-12-02,Active
POL0290,C290,ประกันชีวิต,2050000,รายเดือน,2421.56,2025-05-24,2026-05-24,Active
POL0291,C291,ประกันชีวิต,2700000,รายเดือน,4146.19,2025-04-22,2026-04-22,Active
POL0292,C292,ประกันโรคร้ายแรง,1700000,รายปี,43605.0,2025-07-05,2026-07-05,Active
POL0293,C293,ประกันชีวิต,2650000,รายเดือน,4460.7,2025-10-06,2026-10-06,Active
POL0294,C294,ประกันอุบัติเหตุ,150000,รายปี,1072.5,2025-05-22,2026-05-22,Active
POL0295,C295,ประกันสุขภาพ,350000,รายกึ่งปี,4618.69,2025-02-16,2026-02-16,Active
POL0296,C296,ประกันสุขภาพ,1200000,รายเดือน,3543.75,2025-11-02,2026-11-02,Active
POL0297,C297,ประกันชีวิต,650000,รายเดือน,767.81,2025-05-05,2026-05-05,Active
POL0298,C298,ประกันสุขภาพ,1450000,รายเดือน,2711.95,2025-04-16,2026-04-16,Active
POL0299,C299,ประกันชีวิต,2900000,รายปี,58725.0,2025-10-28,2026-10-28,Active
POL0300,C300,ประกันสุขภาพ,1500000,รายปี,41250.0,2025-06-18,2026-06-18,Active
